

	 METODO DE CUERDAS 	
n		Xn		((Xn)-(Xn-1))
0		-0.8		-1.44481e-05
1		-0.800295		-1.44481e-05
2		-0.800584		0.000294864
3		-0.800867		0.000288963
4		-0.801145		0.000283241
5		-0.801417		0.000277579
6		-0.801683		0.000272095
7		-0.801945		0.000266671
8		-0.802201		0.000261366
9		-0.802452		0.000256121
10		-0.802698		0.000251055
11		-0.802939		0.000246048
12		-0.803176		0.00024116
13		-0.803407		0.000236392
14		-0.803634		0.000231683
15		-0.803857		0.000227034
16		-0.804075		0.000222564
17		-0.804289		0.000218093
18		-0.804498		0.000213802
19		-0.804704		0.00020951
20		-0.804905		0.000205338
21		-0.805102		0.000201285
22		-0.805296		0.000197291
23		-0.805485		0.000193357
24		-0.805671		0.000189483
25		-0.805853		0.000185728
26		-0.806031		0.000182033
27		-0.806206		0.000178397
28		-0.806377		0.00017488
29		-0.806545		0.000171363
30		-0.80671		0.000167966
31		-0.806871		0.000164628
32		-0.807029		0.00016135
33		-0.807185		0.000158131
34		-0.807336		0.000155032
35		-0.807485		0.000151932
36		-0.807631		0.000148892
37		-0.807774		0.000145972
38		-0.807915		0.000143051
39		-0.808052		0.00014019
40		-0.808187		0.000137389
41		-0.808319		0.000134706
42		-0.808448		0.000132024
43		-0.808575		0.000129402
44		-0.808699		0.000126779
45		-0.808821		0.000124276
46		-0.80894		0.000121832
47		-0.809057		0.000119388
48		-0.809172		0.000117004
49		-0.809284		0.000114679
50		-0.809395		0.000112414
51		-0.809503		0.000110149
52		-0.809608		0.000108004
53		-0.809712		0.000105858
54		-0.809814		0.000103712
55		-0.809914		0.000101686
56		-0.810011		9.9659e-05
57		-0.810107		9.76324e-05
58		-0.810201		9.57251e-05
59		-0.810293		9.38177e-05
60		-0.810383		9.197e-05
61		-0.810471		9.01222e-05
62		-0.810558		8.83341e-05
63		-0.810643		8.66055e-05
64		-0.810726		8.4877e-05
65		-0.810807		8.31485e-05
66		-0.810887		8.15392e-05
67		-0.810965		7.98702e-05
68		-0.811042		7.83205e-05
69		-0.811117		7.67708e-05
70		-0.811191		7.52211e-05
71		-0.811263		7.37309e-05
72		-0.811334		7.22408e-05
73		-0.811404		7.08103e-05
74		-0.811472		6.94394e-05
75		-0.811538		6.80089e-05
76		-0.811604		6.66976e-05
77		-0.811668		6.53863e-05
78		-0.811731		6.4075e-05
79		-0.811792		6.27637e-05
80		-0.811852		6.1512e-05
81		-0.811912		6.03199e-05
82		-0.81197		5.91278e-05
83		-0.812026		5.79357e-05
84		-0.812082		5.68032e-05
85		-0.812137		5.56707e-05
86		-0.81219		5.45382e-05
87		-0.812242		5.34654e-05
88		-0.812294		5.23925e-05
89		-0.812344		5.13792e-05
90		-0.812393		5.03659e-05
91		-0.812442		4.93526e-05
92		-0.812489		4.83394e-05
93		-0.812536		4.73857e-05
94		-0.812581		4.6432e-05
95		-0.812626		4.55379e-05
96		-0.81267		4.46439e-05
97		-0.812712		4.37498e-05
98		-0.812754		4.28557e-05
99		-0.812796		4.20213e-05
100		-0.812836		4.11868e-05
101		-0.812876		4.03523e-05
102		-0.812914		3.95775e-05
103		-0.812952		3.88026e-05
104		-0.81299		3.80278e-05
105		-0.813026		3.72529e-05
106		-0.813062		3.65376e-05
107		-0.813097		3.57628e-05
108		-0.813131		3.50475e-05
109		-0.813165		3.43919e-05
110		-0.813198		3.36766e-05
111		-0.81323		3.3021e-05
112		-0.813262		3.23653e-05
113		-0.813293		3.17097e-05
114		-0.813324		3.11136e-05
115		-0.813354		3.0458e-05
116		-0.813383		2.98619e-05
117		-0.813412		2.92659e-05
118		-0.81344		2.86698e-05
119		-0.813467		2.81334e-05
120		-0.813494		2.7597e-05
121		-0.813521		2.70009e-05
122		-0.813547		2.64645e-05
123		-0.813572		2.5928e-05
124		-0.813597		2.54512e-05
125		-0.813621		2.49147e-05
126		-0.813645		2.44379e-05
127		-0.813669		2.39611e-05
128		-0.813692		2.34842e-05
129		-0.813714		2.30074e-05
130		-0.813737		2.25306e-05
131		-0.813758		2.21133e-05
132		-0.813779		2.16961e-05
133		-0.8138		2.12193e-05
134		-0.813821		2.0802e-05
135		-0.813841		2.03848e-05
136		-0.81386		1.99676e-05
137		-0.813879		1.96099e-05
138		-0.813898		1.91927e-05
139		-0.813917		1.88351e-05
140		-0.813935		1.84774e-05
141		-0.813953		1.80602e-05
142		-0.81397		1.77026e-05
143		-0.813987		1.74046e-05
144		-0.814004		1.70469e-05
145		-0.81402		1.66893e-05
146		-0.814036		1.63317e-05
147		-0.814052		1.60336e-05
148		-0.814067		1.57356e-05
149		-0.814082		1.5378e-05
150		-0.814097		1.508e-05
151		-0.814111		1.4782e-05
152		-0.814126		1.44839e-05
153		-0.81414		1.42455e-05
154		-0.814153		1.39475e-05
155		-0.814167		1.36495e-05
156		-0.81418		1.3411e-05
157		-0.814193		1.3113e-05
158		-0.814205		1.28746e-05
159		-0.814218		1.25766e-05
160		-0.81423		1.23382e-05
161		-0.814242		1.20997e-05
162		-0.814253		1.18613e-05
163		-0.814265		1.16229e-05
164		-0.814276		1.13845e-05
165		-0.814287		1.11461e-05
166		-0.814297		1.09673e-05
167		-0.814308		1.07288e-05
168		-0.814318		1.055e-05
169		-0.814328		1.03116e-05
170		-0.814338		1.01328e-05

la raiz es  -0.814338

	 METODO ITERATIVO 	

		Xn		((Xn)-(Xn-1))
0		-0.81		9.89437e-06
1		-0.816828		0.81
2		-0.813998		0.00682813
3		-0.81517		0.00282979
4		-0.814685		0.00117183
5		-0.814886		0.00048542
6		-0.814803		0.000201046
7		-0.814837		8.32677e-05
8		-0.814823		3.45111e-05
9		-0.814829		1.43051e-05

la raiz es  -0.814829

	 METODO DE NEWTON 	
n		Xn		((Xn)-(Xn-1))
0		-0.8		5.90086e-06
1		-0.814818		5.90086e-06
2		-0.814827		0.0148183

la raiz es  -0.814827

	 METODO DE BISECCIÓN 	
n	Xn	f(Xn)		((Xn)-(Xn-1))
0	-0.81	-0.00682812	-0.81
1	-0.815	0.000244771	0.005
2	-0.8175	0.00377969	0.0025
3	-0.81625	0.00201233	0.00125003
4	-0.815625	0.00112854	0.000625014
5	-0.815313	0.000686706	0.000312448
6	-0.815156	0.000465699	0.000156283
7	-0.815078	0.000355278	7.80821e-05
8	-0.815039	0.000299982	3.91006e-05
9	-0.815019	0.000272335	1.95503e-05
10	-0.81501	0.000258511	9.77516e-06

la raiz es -0.81501
